city,outcome,window,expo,n,ndonor,beta,se,ci_l,ci_u,p,sig,q
Wuhan,pr_pre,w0_9,tmax,34697,10124,0.0008086929808432908,0.0014329942403012565,-0.0019999757301471716,0.0036173616918337534,0.5725241830858114,,0.6870290197029737
Chongqing,tsc,w0_9,anyhw3,20371,10451,0.01304128068264839,0.023288885180542444,-0.032604934271214796,0.05868749563651158,0.575493936027446,,0.6863033274364574
Wuhan,pr_post,w70_90,hw3,16709,3498,-0.001854719780127132,0.0034125070315984404,-0.008543233562060075,0.004833794001805811,0.5867811112646696,,0.6954442800173861
Wuhan,volume,w0_9,hw3,34657,10111,-0.0024853951790645974,0.00460669148006941,-0.011514510480000642,0.006543720121871446,0.5895291500355602,,0.6944147043363653
Chongqing,np_post,w70_90,hwp95,8096,2761,-0.0021550744721215744,0.004130852054146629,-0.010251544498248968,0.005941395554005819,0.6018777149919103,,0.704637324868578
Wuhan,volume,w0_9,tmax,34657,10111,0.0008079464763856253,0.0015659642148645263,-0.0022613433847488464,0.003877236337520097,0.6058950225307498,,0.7050414807630543
Chongqing,volume,w0_90,anyhw3,20490,10499,0.013172133279203054,0.02593514861357935,-0.03766075800341247,0.06400502456181857,0.6115323634360701,,0.7073145408417196
Wuhan,pr_post,w0_9,hwp95,16610,3525,0.0067105917634507906,0.013925075771986066,-0.0205825567496419,0.03400374027654348,0.6298719992672746,,0.7241642147264474
Chongqing,sc_pre,w0_9,hwp95,20371,10451,0.0029305153647246297,0.006273064143416739,-0.009364690356372177,0.015225721085821438,0.6403864678484601,,0.7318702489696687
Chongqing,volume,w70_90,anyhw3,20371,10474,-0.014290604273156654,0.031233808981379705,-0.07550886987666088,0.046927661330347564,0.6472855509835755,,0.7353776673896243
Wuhan,pr_pre,w0_90,tmax,32998,9664,0.0007912189366826232,0.0018509410909283912,-0.0028366256015370235,0.004419063474902269,0.66903815333788,,0.7556195614168998
Wuhan,volume,w15_69,hwp95,33706,10003,-0.0010859291284208627,0.002640134039635226,-0.006260591846105905,0.00408873358926418,0.6808409066998025,,0.7644529478734625
Chongqing,pr_post,w0_9,tmax,8092,2744,-0.001119694992353511,0.0027623636879096844,-0.0065339278206564926,0.00429453783594947,0.6852280083286642,,0.764905683715718
Wuhan,pr_post,w0_9,hw3,16610,3525,0.0024963099787253347,0.006593714446887165,-0.01042737033717351,0.015419990294624177,0.7049928418418787,,0.7824198013505244
Chongqing,tsc,w15_69,tmax,20503,10506,-0.0007717336557645575,0.00204476171177127,-0.004779466610836247,0.003235999299307132,0.7058616186227706,,0.7788817860665056
Chongqing,sc_pre,w0_9,anyhw3,20371,10451,0.008513030185734146,0.022819323211851116,-0.036212843309494036,0.05323890368096233,0.7091020445948459,,0.7779862432126311
Chongqing,volume,w0_9,hwp95,20358,10444,0.002585231462886699,0.007074526154228487,-0.011280839799401136,0.016451302725174533,0.7147917830343916,,0.7797728542193364
Chongqing,pr_post,w70_90,tmax,8096,2761,0.0010581109740743382,0.002981346562550564,-0.004785328288524767,0.006901550236673444,0.7226566986093055,,0.7838987917117891
Chongqing,pr_pre,w0_9,hw3,20371,10451,0.001167522672816804,0.00333024818891803,-0.005359763777462535,0.007694809123096143,0.7259025026222597,,0.7829959578846847
Chongqing,tsc,w0_90,tmax,20503,10506,-0.0007976473332385446,0.0023597412429551805,-0.005422740169430698,0.003827445502953609,0.7353456896233652,,0.7887506838418219
Wuhan,pr_post,w15_69,hwp95,15964,3455,-0.0012824358308208177,0.00401925582438726,-0.009160177246619848,0.006595305584978212,0.7496711917803289,,0.799649271232351
Chongqing,volume,w15_69,hw3,20490,10499,0.00044261665093840496,0.0013947753807023973,-0.0022911430952382936,0.0031763763971151037,0.7509863733570121,,0.7966264291963886
Wuhan,volume,w70_90,tmax,34687,10083,-0.0005285695413719455,0.0017071959276370341,-0.0038746735595405323,0.0028175344767966412,0.7568554970136637,,0.7984409638825463
Chongqing,pr_pre,w0_9,anyhw3,20371,10451,-0.00658959553660696,0.02281404872311998,-0.05130513103392212,0.038125939960708205,0.7727043000619598,,0.8107061508846791
Chongqing,pr_pre,w70_90,tmax,20384,10482,0.0004515620722066599,0.0018694518596527997,-0.0032125635727128276,0.004115687717126147,0.8091305373240465,,0.844310125903353
Chongqing,volume,w0_90,hwp95,20490,10499,-0.0005416727121121926,0.0025771214718037978,-0.0055928307968476365,0.0045094853726232505,0.8335231544409888,,0.86506186839281
Chongqing,volume,w0_9,hw3,20358,10444,0.0008328531601829568,0.004205040100774979,-0.007409025437336002,0.009074731757701916,0.8429975773175791,,0.87019104755363
Chongqing,sc_pre,w0_9,hw3,20371,10451,0.0006051193420706045,0.00353914023771193,-0.006331595523844778,0.007541834207985988,0.8642401261811237,,0.8873481509453247
Wuhan,volume,w0_90,hw3,32956,9651,0.0001547071130463353,0.0010164400424331915,-0.0018375153701227199,0.0021469295962153905,0.8790253619174737,,0.8977280291923135
Chongqing,volume,w15_69,hwp95,20490,10499,-0.0003235377663655177,0.003216254198989945,-0.00662739599638581,0.005980320463654775,0.9198722929868214,,0.9344734404945487
Chongqing,volume,w0_90,hw3,20490,10499,5.871983176884647e-05,0.0011376800126023973,-0.0021711329929318523,0.0022885726564695454,0.9588365330547695,,0.9689295491921881
Wuhan,pr_post,w0_9,anyhw3,16610,3525,-0.0016335057339186784,0.03822918290908598,-0.0765627042357272,0.07329569276788983,0.9659173331166948,,0.9709744919288241
Chongqing,tsc,w0_9,hw3,20371,10451,-7.763487484845772e-05,0.003637065827386532,-0.007206283896526061,0.007051014146829146,0.982970073297113,,0.9829700732971128
