city,outcome,window,expo,n,ndonor,beta,se,ci_l,ci_u,p,sig,q
Wuhan,tsc,w15_69,tmax,33725,10009,-0.0053500085360369916,0.0016856621993045372,-0.008653906446673885,-0.0020461106254000988,0.0015044076848705445,*,0.00577692550990289
Chongqing,np_post,w0_9,tmax,8092,2744,0.0066123935322863776,0.0021114919998036883,0.002473869212671149,0.010750917851901607,0.0017384389639001582,*,0.006544711393506478
Wuhan,pr_pre,w70_90,hwp95,34732,10096,-0.011990992961260615,0.00387767604234556,-0.01959123800425791,-0.004390747918263318,0.0019860246937587413,*,0.00733301425387843
Wuhan,volume,w70_90,hwp95,34687,10083,-0.010733330964931079,0.0034726560703950992,-0.017539736862905473,-0.0039269250669566845,0.0019960921619977486,*,0.007231126322708826
Chongqing,pr_pre,w15_69,anyhw3,20503,10506,-0.07144233315334783,0.023686595316367864,-0.11786805997342883,-0.02501660633326682,0.002560062707220305,*,0.00910244518122775
Chongqing,pr_pre,w0_90,hwp95,20503,10506,-0.005523342848160799,0.001869831634589913,-0.009188212851957029,-0.00185847284436457,0.0031376001064694005,*,0.010953076735311363
Chongqing,pr_pre,w70_90,hwp95,20384,10482,-0.01107047308866432,0.004039976106076327,-0.018988826256573922,-0.003152119920754719,0.006139577039920326,*,0.021049978422583975
Chongqing,np_post,w0_90,tmax,8143,2764,0.00741986275562082,0.002780742405788452,0.001969607640275455,0.012870117870966185,0.0076235516117411995,*,0.02567933174481246
Chongqing,np_post,w70_90,hw3,8096,2761,-0.005917242121533005,0.0022753215410133898,-0.010376872341919249,-0.0014576119011467607,0.009305601382303796,*,0.03080474940348843
Wuhan,sc_pre,w0_90,anyhw3,33627,9790,-0.054955151244939875,0.021148014877619695,-0.09640526040507447,-0.013505042084805276,0.00936058107036207,*,0.030461551957788432
Chongqing,pr_post,w0_90,anyhw3,8143,2764,-0.09201041505506875,0.035584115229402524,-0.1617552809046977,-0.022265549205439814,0.00971769716345873,*,0.031096630923067935
Chongqing,sc_pre,w0_90,hw3,20503,10506,0.0024958343857438463,0.0009668792204558473,0.0006007511136503856,0.004390917657837307,0.009842043743504976,*,0.03097823604513042
Chongqing,survival_post,w70_90,hw3,5830,1614,-0.008417331471532855,0.0033123224420451105,-0.014909483457941271,-0.001925179485124438,0.01104672035393325,*,0.03420919851540619
Chongqing,tsc,w0_9,tmax,20371,10451,-0.004953871180746536,0.0019853534587239334,-0.008845163959845446,-0.0010625784016476268,0.01258830744878088,*,0.03836436555818935
Wuhan,volume,w0_90,anyhw3,32956,9651,-0.053468967893426436,0.021512046125021226,-0.09563257829846804,-0.011305357488384835,0.012935645532157774,*,0.03880693659647332
Chongqing,pr_post,w15_69,hwp95,8143,2764,-0.008537804454853705,0.003488601568884156,-0.01537546352986665,-0.0017001453798407588,0.014391382900509321,*,0.042509931029196764
Chongqing,pr_pre,w0_90,anyhw3,20503,10506,-0.056487449115149656,0.023357097119299154,-0.102267359468976,-0.010707538761323313,0.015587745762112151,*,0.045346169489780805
Chongqing,pr_pre,w70_90,hw3,20384,10482,-0.005355583865126689,0.0022384291091207213,-0.009742904919003302,-0.000968262811250075,0.016731130977166324,*,0.047945927576357225
Chongqing,np_post,w0_90,anyhw3,8143,2764,-0.07068829242735183,0.02959492699795652,-0.12869434934334661,-0.012682235511357054,0.016916049390085452,*,0.04776296298377069
Chongqing,survival_post,w0_90,hw3,5869,1616,-0.002721282953499172,0.0011424436821082264,-0.0049604725704312964,-0.0004820933365670484,0.017219629978589675,*,0.04791549211433649
Chongqing,survival_post,w70_90,hwp95,5830,1614,-0.010470041958659217,0.004518161971777447,-0.019325639423343012,-0.001614444493975421,0.02048612761274094,*,0.056190521452089436
Chongqing,pr_pre,w0_9,tmax,20371,10451,0.003969424225740742,0.0017592192032490383,0.000521354587372627,0.007417493864108857,0.024048365472960215,*,0.06503219958885016
Wuhan,sc_pre,w0_9,hwp95,35384,10256,-0.021021676840498556,0.00940805402490991,-0.03946146272932198,-0.002581890951675131,0.025454523309118116,*,0.06787872882431498
Chongqing,sc_pre,w70_90,hwp95,20384,10482,0.009984683959127267,0.004505360272716417,0.00115417782460309,0.018815190093651443,0.02667925863904327,*,0.07017010491364806
Chongqing,pr_pre,w15_69,tmax,20503,10506,0.004140776838717788,0.0018891784548480425,0.0004379870672156245,0.00784356661021995,0.02839106423455443,*,0.07366330179776284
Chongqing,survival_post,w0_90,hwp95,5869,1616,-0.005067968938233939,0.0023557487948091377,-0.009685236576059849,-0.0004507013004080296,0.031450969440463036,*,0.08051448176758537
Chongqing,survival_post,w0_9,anyhw3,5836,1606,-0.07407938398338035,0.03447687887461162,-0.14165406657761914,-0.006504701389141568,0.03166068656447419,*,0.07998489237340849
Chongqing,pr_pre,w0_90,tmax,20503,10506,0.004624432292379952,0.002164771808098983,0.00038147954850594606,0.008867385036253958,0.03266135577266295,*,0.08144130270586086
Wuhan,pr_post,w15_69,anyhw3,15964,3455,-0.058600829599389705,0.02785743262211733,-0.11320139753873967,-0.004000261660039736,0.0354135597518622,*,0.08717183938919927
Wuhan,tsc,w0_9,tmax,34677,10118,-0.0032437952428079207,0.001547253108232792,-0.006276411334944193,-0.00021117915067164848,0.03603905686003357,*,0.08758859388767654
Chongqing,pr_post,w0_90,hwp95,8143,2764,-0.005873515080600015,0.0028089887423161613,-0.01137913301553969,-0.00036789714566033867,0.036530629173132795,*,0.08767351001551871
Wuhan,pr_post,w70_90,hwp95,16709,3498,-0.012532697945633994,0.006012554357677121,-0.02431730448668115,-0.0007480914045868356,0.03712183821199696,*,0.08799250539140019
Wuhan,pr_pre,w0_90,hwp95,32998,9664,-0.0041391252722646306,0.002016314691856896,-0.008091102068304146,-0.00018714847622511473,0.040090319745768974,*,0.09387001696570296
Chongqing,sc_pre,w0_90,hwp95,20503,10506,0.004557720979636278,0.0022215638785723895,0.00020345577763439433,0.008911986181638161,0.040210280463087465,*,0.09301655239653968
Chongqing,pr_post,w0_9,anyhw3,8092,2744,-0.07142341728510859,0.03510857467912521,-0.140236223656194,-0.002610610914023176,0.04191549168212066,*,0.0958068381305615
Chongqing,survival_post,w0_9,hwp95,5836,1606,-0.011273110409721444,0.005637620765756339,-0.022322847110603866,-0.0002233737088390194,0.04554109843756483,*,0.10286930470602879
Chongqing,pr_pre,w15_69,hwp95,20503,10506,-0.004724017741225074,0.002372261122004394,-0.009373649540353687,-7.438594209646134e-05,0.046441701681060155,*,0.10368379910190174
Chongqing,sc_pre,w70_90,anyhw3,20384,10482,0.05987957658259835,0.030910446537897422,-0.0007048986316805991,0.1204640517968773,0.0527214554867405,,0.11635079831556525
Wuhan,pr_pre,w15_69,anyhw3,33748,10015,-0.03923411305627522,0.02040482388517317,-0.07922756787121463,0.0007593417586641907,0.05450691035230998,,0.11892416804140359
Wuhan,pr_pre,w0_9,anyhw3,34697,10124,-0.05011267162363819,0.02613331277419864,-0.10133396466106753,0.0011086214137911513,0.0551645128779417,,0.11900658957937985
Chongqing,volume,w0_90,tmax,20490,10499,-0.004703766012844346,0.0024669832670528038,-0.009539053216267843,0.00013152119057914958,0.05656107424834195,,0.12066362506312948
Chongqing,tsc,w0_90,hw3,20503,10506,0.0018510732048662663,0.0009714166708992972,-5.2903470096356134e-05,0.0037550498798288885,0.05670992882762343,,0.1196517179659747
Chongqing,pr_post,w15_69,tmax,8143,2764,0.005610380093458428,0.0029687640183072906,-0.00020839738242386073,0.011429157569340717,0.05878426959136913,,0.12268021479937906
Chongqing,sc_pre,w0_9,tmax,20371,10451,-0.003540260902766794,0.0018855944523808673,-0.007236026029433294,0.00015550422389970595,0.0604454350889821,,0.12479057566757595
