city,outcome,window,expo,n,ndonor,beta,se,p,q,ci_l,ci_u,sig
Wuhan,sc_pre,w0_9,tmax,16621,2688,-0.010316621242337688,0.002844747418509811,0.0002872322476457675,0.0010668626341128508,-0.015892326182616916,-0.0047409163020584585,*
Wuhan,sc_pre,w15_69,hwp95,16621,2688,-0.18566254021386852,0.053809080287214706,0.0005597684641774942,0.002030787916550909,-0.29112833757680934,-0.0801967428509277,*
Chongqing,volume,w70_90,tmax,8143,2763,-0.010716976781219127,0.003116718599672806,0.0005848495850088915,0.002073557619576979,-0.016825745236577826,-0.004608208325860428,*
Chongqing,pr_pre,w0_9,tmax,8102,2745,-0.009085503476198489,0.00265556357221137,0.0006232048816048834,0.002160443589563596,-0.014290408077732773,-0.0038805988746642038,*
Chongqing,pr_post,w15_69,anyhw3,8143,2763,-0.1303138007509944,0.0381678834362434,0.0006396336649580535,0.0021691924289881813,-0.2051228522860315,-0.05550474921595734,*
Chongqing,survival_post,w0_9,hwp95,5844,1606,-0.1331997644621545,0.03972767291526159,0.0007999250637059761,0.00265507042421558,-0.21106600337606723,-0.055333525548241794,*
Chongqing,np_post,w0_9,tmax,8102,2745,0.006977952552386865,0.00210328273617138,0.0009077868599297499,0.002950307294771687,0.0028555183894909608,0.01110038671528277,*
Chongqing,np_post,w15_69,tmax,8143,2763,0.008036985262196723,0.002435169353586678,0.0009655384961213829,0.0030739592937741984,0.003264053329166834,0.012809917195226611,*
Wuhan,pr_post,w0_90,anyhw3,16621,2688,-0.0857785825358506,0.027015311943614128,0.0014974158784728743,0.004671937540835368,-0.1387285939453343,-0.03282857112636692,*
Wuhan,pr_pre,w15_69,anyhw3,16621,2688,-0.0852225840093702,0.02744099206074039,0.0018985037091637869,0.005807187816265701,-0.13900692844842136,-0.03143823957031904,*
Wuhan,pr_post,w15_69,hwp95,16621,2688,-0.13511256399759877,0.04677035161121517,0.0038665258016590313,0.011599577404977095,-0.2267824531555805,-0.04344267483961704,*
Chongqing,pr_pre,w70_90,hwp95,8143,2763,-0.14135703148370518,0.05029986334883169,0.00494974027800641,0.014569046856018867,-0.2399447636474153,-0.04276929931999507,*
Wuhan,pr_post,w0_9,anyhw3,16621,2688,-0.14381535426867798,0.05163404884933957,0.005348129256403085,0.015450151185164466,-0.24501809001338354,-0.04261261852397241,*
Chongqing,np_post,w0_90,tmax,8143,2763,0.0075686789418412045,0.0028026618624248756,0.006922861029178776,0.01963575128276162,0.0020754616914884488,0.01306189619219396,*
Chongqing,pr_post,w0_90,anyhw3,8143,2763,-0.09073261774224248,0.035568850452944355,0.010744482799481467,0.02993105922712694,-0.16044756463001342,-0.021017670854471537,*
Wuhan,tsc,w70_90,tmax,16621,2688,-0.006704456610113876,0.002757815070700449,0.015054077869516989,0.04120063416920439,-0.012109774148686756,-0.0012991390715409966,*
Chongqing,np_post,w0_90,anyhw3,8143,2763,-0.07089440540078693,0.029583339625006026,0.016555651101617407,0.044158067367160506,-0.12887775106579874,-0.012911059735775117,*
Wuhan,volume,w0_90,hwp95,16621,2688,-0.11585757661282434,0.04841056581348739,0.01670080752988763,0.044158067367160506,-0.2107422856072596,-0.020972867618389054,*
Wuhan,pr_pre,w0_90,anyhw3,16621,2688,-0.06174527564666789,0.026049871276332865,0.01777501218463885,0.04562468782192297,-0.1128030233482803,-0.010687527945055474,*
Wuhan,volume,w15_69,hwp95,16621,2688,-0.1225114000819074,0.05171628146250669,0.01784042280216219,0.04562468782192297,-0.2238753117484205,-0.021147488415394294,*
Chongqing,tsc,w0_90,tmax,8143,2763,-0.008757795169811868,0.003733704736153644,0.018996245299780168,0.04779700430267268,-0.01607585645267301,-0.0014397338869507259,*
Chongqing,volume,w0_90,tmax,8143,2763,-0.009295123930067865,0.004163350451273563,0.025574894770907946,0.06267227462671027,-0.01745529081456405,-0.0011349570455716808,*
Chongqing,tsc,w15_69,tmax,8143,2763,-0.007209981498064622,0.0032323947376721998,0.02571170241095806,0.06267227462671027,-0.013545475183902134,-0.0008744878122271113,*
Chongqing,sc_post,w15_69,tmax,8143,2763,-0.00657146940780653,0.003010236344988143,0.029032789665499697,0.06967869519719927,-0.01247153264398329,-0.0006714061716297697,*
Chongqing,volume,w70_90,anyhw3,8143,2763,-0.10679401435419493,0.049466669156980836,0.030857263409775373,0.07195476002195218,-0.20374868590187736,-0.009839342806512497,*
Chongqing,sc_post,w15_69,anyhw3,8143,2763,0.07791901540619697,0.03610184505624284,0.030903646932505104,0.07195476002195218,0.007159399095961014,0.14867863171643292,*
Chongqing,survival_post,w0_9,anyhw3,5844,1606,-0.0741556841795088,0.03447287391511864,0.0314658236548212,0.0721863013257663,-0.14172251705314132,-0.0065888513058762616,*
Wuhan,volume,w70_90,hwp95,16621,2688,-0.1040384216227403,0.05059460266201056,0.03975219907929833,0.08916727506287231,-0.20320384284028098,-0.004873000405199598,*
Chongqing,pr_post,w0_9,anyhw3,8102,2745,-0.07206385602167066,0.03509086511143159,0.04001095675898116,0.08916727506287231,-0.14084195164007657,-0.0032857604032647397,*
Wuhan,pr_pre,w15_69,tmax,16621,2688,0.0044156019649720935,0.002271055932183219,0.05185992593446119,0.11394575275740768,-3.5667662107016426e-05,0.008866871592051203,
Wuhan,pr_post,w0_9,hwp95,16621,2688,-0.1520466718594552,0.07851266484418579,0.05279574582778373,0.11439078262686474,-0.30593149495405936,0.0018381512351489382,
Wuhan,pr_post,w15_69,anyhw3,16621,2688,-0.05371583680808236,0.02800956645279576,0.05514049584568065,0.11714031976571372,-0.10861458705556204,0.0011829134393973248,
Chongqing,sc_post,w0_9,hwp95,8102,2745,-0.09074718779806389,0.04740193181669812,0.05556656194014625,0.11714031976571372,-0.1836549741587922,0.0021605985626644286,
Chongqing,volume,w15_69,tmax,8143,2763,-0.006771485478586231,0.003635697377175701,0.0625326797789679,0.1300679739402532,-0.013897452337850606,0.0003544813806781429,
Wuhan,pr_post,w70_90,anyhw3,16621,2688,-0.06492784204090343,0.03505993117384552,0.06403872765496264,0.1314479146601865,-0.13364530714164063,0.0037896230598337827,
Chongqing,pr_post,w70_90,anyhw3,8143,2763,-0.08209518034502046,0.04493786091073838,0.06772082259034817,0.13720062758564044,-0.17017338773006768,0.0059830270400267616,
Wuhan,tsc,w70_90,anyhw3,16621,2688,-0.06438897871415053,0.035588496358049095,0.07041002761781465,0.13918637269183676,-0.13414243157592676,0.005364474147625697,
Chongqing,sc_pre,w0_9,tmax,8102,2745,-0.005477814695397084,0.00302846058922106,0.07048540668368657,0.13918637269183676,-0.011413597450270362,0.00045796805947619437,
Chongqing,pr_post,w15_69,tmax,8143,2763,0.005299552179065254,0.0029879447338097714,0.07612194790166696,0.14843779840825058,-0.0005568194992018978,0.011155923857332405,
Chongqing,tsc,w0_9,tmax,8102,2745,-0.005318349337523946,0.0031151930047757757,0.08777940741439692,0.1681461828186908,-0.011424127626884467,0.0007874289518365737,
Chongqing,sc_post,w0_90,tmax,8143,2763,-0.005926602670317358,0.0034780908455339385,0.08838453199444003,0.1681461828186908,-0.012743660727563878,0.0008904553869291615,
Chongqing,tsc,w70_90,tmax,8143,2763,-0.005119664991555937,0.003022544563850918,0.09029832533686309,0.16971733436808004,-0.011043852336703736,0.0008045223535918626,
Wuhan,sc_pre,w15_69,anyhw3,16621,2688,-0.052386492441887964,0.031360192554054436,0.09482495023367413,0.1761034790053948,-0.11385246984783465,0.009079484964058727,
Chongqing,sc_pre,w70_90,tmax,8143,2763,0.00526651705239018,0.003231814321000973,0.10318917707100717,0.18763487338045287,-0.0010678390167717274,0.011600873121552087,
Chongqing,sc_post,w0_90,hwp95,8143,2763,-0.06574829764358453,0.040375969722725356,0.10343973788922402,0.18763487338045287,-0.14488519830012622,0.013388603012957162,
Chongqing,np_post,w0_9,anyhw3,8102,2745,0.047343040513275016,0.029878844691951248,0.1130798971815949,0.20276395356699775,-0.011219495082949428,0.10590557610949947,
Chongqing,tsc,w15_69,hwp95,8143,2763,-0.07529082989606654,0.048279834652119345,0.1188857864115422,0.21075207591137027,-0.16991930581422046,0.019337646022087374,
Chongqing,sc_post,w0_9,anyhw3,8102,2745,0.05488138153305966,0.035859503996144515,0.12590397606046116,0.22068562095990946,-0.015403246299383583,0.1251660093655029,
Wuhan,pr_pre,w15_69,hwp95,16621,2688,-0.06662788447501496,0.04438380812898525,0.1333101801893024,0.23107097899479084,-0.15362014840782606,0.020364379457796136,
Wuhan,pr_pre,w0_90,tmax,16621,2688,0.0036660550183957026,0.0025509383214705112,0.15067827101484435,0.25830560745401887,-0.0013337840916864993,0.008665894128477904,
Wuhan,volume,w70_90,anyhw3,16621,2688,-0.04848667657855374,0.035028210014011046,0.16629173287202992,0.2819729383482246,-0.11714196820601538,0.020168615048907906,
Chongqing,pr_post,w0_9,hwp95,8102,2745,-0.06571732221311719,0.048515889001653545,0.17556015305979666,0.293147136622106,-0.16080846465635812,0.029373820230123762,
Wuhan,tsc,w0_90,tmax,16621,2688,-0.004146436895070487,0.0030789444920844814,0.17807453373037574,0.293147136622106,-0.01018116809955607,0.0018882943094150964,
Chongqing,pr_post,w0_90,tmax,8143,2763,0.004631844383259471,0.003442908914144323,0.17851908960961582,0.293147136622106,-0.0021162570884634023,0.011379945854982344,
Wuhan,sc_pre,w0_90,anyhw3,16621,2688,-0.040908920396438446,0.030540487525478815,0.18040862175156558,0.2931640103462941,-0.10076827594637691,0.018950435153500027,
Chongqing,tsc,w70_90,anyhw3,8143,2763,-0.06349199546726053,0.04836622191954354,0.18927251638737064,0.3043970366642249,-0.15828979042956587,0.031305799495044806,
Wuhan,tsc,w0_9,hwp95,16621,2688,-0.095345622220598,0.07307243702917357,0.19195766660582103,0.30556526520926613,-0.2385675987977782,0.04787635435658219,
