cohort,outcome,outcome_label,native_unit,exposure_metric,exposure_window,n_confirmatory_model,n_donors_confirmatory_model,n_locked_sample_for_SD,analysis_sample_sd,analysis_sample_median,beta_sd_units,ci_low_sd_units,ci_high_sd_units,effect_native_units,ci_low_native_units,ci_high_native_units,percent_of_median,p_value,q_value_bh
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,anyhw3,w0_9,16621,2688,17268,86.6,210.0,-0.0559,-0.1504,0.0387,-4.839,-13.028,3.35,-2.3,0.2468184627268738,0.3598474783681524
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,tmax,w0_9,16621,2688,17268,86.6,210.0,0.0001,-0.005,0.0052,0.007,-0.434,0.448,0.0,0.9744245124373212,0.9861154005717266
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,anyhw3,w0_90,16621,2688,17268,86.6,210.0,-0.1543,-0.2181,-0.0905,-13.361,-18.885,-7.837,-6.36,2.1311106700299678e-06,1.511151202384886e-05
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,hwp95,w0_90,16621,2688,17268,86.6,210.0,-0.1962,-0.2869,-0.1055,-16.991,-24.843,-9.138,-8.09,2.2247103625160013e-05,0.0001131392732432
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,tmax,w0_90,16621,2688,17268,86.6,210.0,-0.0041,-0.0102,0.0019,-0.359,-0.882,0.164,-0.17,0.1780745337303757,0.293147136622106
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,anyhw3,w15_69,16621,2688,17268,86.6,210.0,-0.1469,-0.2079,-0.0858,-12.718,-18.004,-7.433,-6.06,2.4040426478028144e-06,1.6305680567706046e-05
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,hwp95,w15_69,16621,2688,17268,86.6,210.0,-0.1853,-0.2827,-0.088,-16.05,-24.478,-7.623,-7.64,0.0001894262259465,0.0007207436889672
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,tmax,w15_69,16621,2688,17268,86.6,210.0,-0.0031,-0.0086,0.0024,-0.269,-0.742,0.204,-0.13,0.2650190525283012,0.375845201767409
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,hwp95,w70_90,16621,2688,17268,86.6,210.0,-0.2011,-0.2974,-0.1047,-17.412,-25.755,-9.069,-8.29,4.303011648742528e-05,0.0001933751543037
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,tmax,w70_90,16621,2688,17268,86.6,210.0,-0.0067,-0.0121,-0.0013,-0.581,-1.049,-0.113,-0.28,0.0150540778695169,0.0412006341692043
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,anyhw3,w70_90,16621,2688,17268,86.6,210.0,-0.0644,-0.1341,0.0054,-5.576,-11.617,0.465,-2.66,0.0704100276178146,0.1391863726918367
Wuhan,volume,Semen volume,mL,hwp95,w0_9,16621,2688,17268,1.28,3.2,-0.0904,-0.2386,0.0578,-0.115,-0.304,0.074,-3.61,0.2316133712786198,0.3474200569179296
Wuhan,volume,Semen volume,mL,tmax,w0_9,16621,2688,17268,1.28,3.2,0.0031,-0.0021,0.0082,0.004,-0.003,0.011,0.12,0.2456991694949731,0.3598474783681524
Wuhan,volume,Semen volume,mL,anyhw3,w0_9,16621,2688,17268,1.28,3.2,-0.0552,-0.1505,0.0401,-0.07,-0.192,0.051,-2.2,0.2563798899404013,0.3703265076916907
Wuhan,volume,Semen volume,mL,anyhw3,w0_90,16621,2688,17268,1.28,3.2,-0.1384,-0.2014,-0.0755,-0.177,-0.257,-0.096,-5.52,1.62207035971928e-05,9.037249147007416e-05
Wuhan,volume,Semen volume,mL,hwp95,w0_90,16621,2688,17268,1.28,3.2,-0.1159,-0.2107,-0.021,-0.148,-0.269,-0.027,-4.62,0.0167008075298876,0.0441580673671605
Wuhan,volume,Semen volume,mL,tmax,w0_90,16621,2688,17268,1.28,3.2,0.0013,-0.0048,0.0074,0.002,-0.006,0.009,0.05,0.6818345988757404,0.7543701945008192
Wuhan,volume,Semen volume,mL,anyhw3,w15_69,16621,2688,17268,1.28,3.2,-0.1276,-0.1885,-0.0667,-0.163,-0.241,-0.085,-5.09,4.018782953074898e-05,0.0001933751543037
Wuhan,volume,Semen volume,mL,hwp95,w15_69,16621,2688,17268,1.28,3.2,-0.1225,-0.2239,-0.0211,-0.156,-0.286,-0.027,-4.88,0.0178404228021621,0.0456246878219229
Wuhan,volume,Semen volume,mL,tmax,w15_69,16621,2688,17268,1.28,3.2,0.0017,-0.0038,0.0072,0.002,-0.005,0.009,0.07,0.5413289967315414,0.6518588297939512
Wuhan,volume,Semen volume,mL,hwp95,w70_90,16621,2688,17268,1.28,3.2,-0.104,-0.2032,-0.0049,-0.133,-0.259,-0.006,-4.15,0.0397521990792983,0.0891672750628723
Wuhan,volume,Semen volume,mL,anyhw3,w70_90,16621,2688,17268,1.28,3.2,-0.0485,-0.1171,0.0202,-0.062,-0.149,0.026,-1.93,0.1662917328720299,0.2819729383482246
Wuhan,volume,Semen volume,mL,tmax,w70_90,16621,2688,17268,1.28,3.2,-0.0024,-0.0078,0.0031,-0.003,-0.01,0.004,-0.09,0.3933627931027138,0.5071454192068047
